gene,log2fc,statistic,pvalue,fdr,method,group1,group2
ANKUB1,-8.127244120954952,-46.73697563968896,5.492102749245171e-14,7.694435951692485e-10,logCPM_Welch_ttest,GSE132771,GSE171524
AC068888.1,-6.476560622323871,-41.32177092183346,3.580287584972625e-13,1.8541595720992224e-09,logCPM_Welch_ttest,GSE132771,GSE171524
AC053513.1,-7.55415530961999,-38.598124265102584,4.590917120615399e-13,1.8541595720992224e-09,logCPM_Welch_ttest,GSE132771,GSE171524
RAB11FIP3,-6.317940138360835,-37.958226592661696,5.293817479226902e-13,1.8541595720992224e-09,logCPM_Welch_ttest,GSE132771,GSE171524
CUBN,-6.106640735494815,-39.402483639049706,7.100880680380877e-13,1.9896667666427217e-09,logCPM_Welch_ttest,GSE132771,GSE171524
HCG17,-5.844933874900948,-33.21417241815789,2.3802905248928075e-12,4.7744487344493e-09,logCPM_Welch_ttest,GSE132771,GSE171524
AC008735.2,-7.163565067430604,-36.44341331589614,2.3855204240646037e-12,4.7744487344493e-09,logCPM_Welch_ttest,GSE132771,GSE171524
FTH1,11.663607310841721,31.48802745319786,4.247769272676378e-12,7.4389059387745075e-09,logCPM_Welch_ttest,GSE132771,GSE171524
AL021707.1,-6.816342192576666,-35.165079879688946,1.185486884124995e-11,1.7323375651051694e-08,logCPM_Welch_ttest,GSE132771,GSE171524
C11orf65,-6.917373304901815,-36.134930410210636,1.3557524840459126e-11,1.7323375651051694e-08,logCPM_Welch_ttest,GSE132771,GSE171524
RORA-AS1,-8.711915783935982,-28.642669363155676,1.4062694153020908e-11,1.7323375651051694e-08,logCPM_Welch_ttest,GSE132771,GSE171524
RFX3-AS1,-7.493267452014337,-34.5591260650509,1.4838009122956483e-11,1.7323375651051694e-08,logCPM_Welch_ttest,GSE132771,GSE171524
HEATR4,-5.147867791633633,-27.147286667932992,1.9742564246086757e-11,1.9609877243549642e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AC010894.3,-8.011342066388409,-120.2737465610907,2.2274398296969172e-11,1.9609877243549642e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AL137856.1,-7.436464882956864,-29.131693976158072,2.2380710720646442e-11,1.9609877243549642e-08,logCPM_Welch_ttest,GSE132771,GSE171524
MEF2B,-5.271556996807756,-32.56978823041678,2.2395291641455695e-11,1.9609877243549642e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AL360091.3,-6.332748703025855,-26.69579391302501,2.593857585762791e-11,2.137643810384512e-08,logCPM_Welch_ttest,GSE132771,GSE171524
TENM1,-6.539881067604764,-26.69717200829759,3.107623589247539e-11,2.3127558741265526e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AL117381.1,-6.631427068144862,-29.362037475477624,3.1364997579160954e-11,2.3127558741265526e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AL161725.1,-6.377006311374681,-30.11650675953162,4.18978962031976e-11,2.7318447722152217e-08,logCPM_Welch_ttest,GSE132771,GSE171524
CC2D2A,-5.658353505747959,-25.39504968016357,4.19233991757267e-11,2.7318447722152217e-08,logCPM_Welch_ttest,GSE132771,GSE171524
MTCP1,-5.568709833971252,-25.579921468618153,4.289834760081005e-11,2.7318447722152217e-08,logCPM_Welch_ttest,GSE132771,GSE171524
SKAP1-AS1,-6.9586820594769545,-27.898719054049522,5.475814703526984e-11,3.2432128145600824e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AC079447.1,-5.62285367458485,-28.399946927786868,5.555824949995859e-11,3.2432128145600824e-08,logCPM_Welch_ttest,GSE132771,GSE171524
FTL,11.186570967231278,27.96812680368873,6.444387461368208e-11,3.6114347333507434e-08,logCPM_Welch_ttest,GSE132771,GSE171524
SLC24A1,-5.7429779338295095,-24.22016660950855,7.390084474839659e-11,3.931929464462625e-08,logCPM_Welch_ttest,GSE132771,GSE171524
MSC-AS1,-7.249684812936369,-31.488429008562402,7.850845888180753e-11,3.931929464462625e-08,logCPM_Welch_ttest,GSE132771,GSE171524
MCF2L2,-7.08393817371131,-24.927841083076455,7.858245896142291e-11,3.931929464462625e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AL157938.2,-6.763086668711622,-30.17894923978701,8.350433382406914e-11,4.034123161638651e-08,logCPM_Welch_ttest,GSE132771,GSE171524
ACAD11,-6.378364186790773,-24.054329132651436,1.0056416630077559e-10,4.69634656624622e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AC009950.1,-5.016060150465258,-22.762271440392894,1.4160955487278766e-10,6.399838270218565e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AL354733.3,-6.250831668076947,-24.861801584067084,1.501758723765404e-10,6.57488741248541e-08,logCPM_Welch_ttest,GSE132771,GSE171524
TMLHE-AS1,-7.0612837502277594,-84.04054571673346,1.9116241945060894e-10,8.115713625766761e-08,logCPM_Welch_ttest,GSE132771,GSE171524
BTBD11,-6.9669280503736175,-27.474508877747443,2.406941007981742e-10,9.908807541078615e-08,logCPM_Welch_ttest,GSE132771,GSE171524
