gene,log2fc,statistic,pvalue,fdr,method,group1,group2
PRKN,-6.189644718834906,-26.750973624378624,2.7299217746780286e-10,4.9272358111163734e-06,logCPM_Welch_ttest,GSE132771,GSE173896
PTPRJ,-3.522679797041483,-23.20693208527568,5.485194759148722e-10,4.9501140103937645e-06,logCPM_Welch_ttest,GSE132771,GSE173896
AUTS2,-4.84470405640794,-21.306350741312507,1.8284147386442803e-09,8.641886635568822e-06,logCPM_Welch_ttest,GSE132771,GSE173896
DIAPH2,-3.7107985133903147,-21.82662479948983,1.915205637003451e-09,8.641886635568822e-06,logCPM_Welch_ttest,GSE132771,GSE173896
SMYD3,-4.588703563066331,-19.568368620010798,2.6569540018760548e-09,8.645334295866862e-06,logCPM_Welch_ttest,GSE132771,GSE173896
AC084337.2,-3.865760786100261,-26.75204487251359,2.8739545556651985e-09,8.645334295866862e-06,logCPM_Welch_ttest,GSE132771,GSE173896
TTC28,-4.594694457726403,-20.76354249953511,3.908610102303273e-09,9.047521543760498e-06,logCPM_Welch_ttest,GSE132771,GSE173896
MKL1,-4.187045086804744,-22.93582842860522,4.010204019617928e-09,9.047521543760498e-06,logCPM_Welch_ttest,GSE132771,GSE173896
EXOC4,-4.230263916954707,-18.047961934604,5.982995155268669e-09,1.1998564395271578e-05,logCPM_Welch_ttest,GSE132771,GSE173896
TEX14,-6.514381713288746,-17.970891117442882,7.352504617004982e-09,1.3270535583232291e-05,logCPM_Welch_ttest,GSE132771,GSE173896
HLA-DRB5,-7.271573989058428,-18.075274684529614,9.854188146516509e-09,1.4201752333444024e-05,logCPM_Welch_ttest,GSE132771,GSE173896
AC079447.1,-4.134700288555396,-30.42939384151433,9.910382609027975e-09,1.4201752333444024e-05,logCPM_Welch_ttest,GSE132771,GSE173896
LINC01004,-6.854691570896653,-20.591070008759928,1.022897558506135e-08,1.4201752333444024e-05,logCPM_Welch_ttest,GSE132771,GSE173896
BTBD9,-6.399647672151644,-17.174173593326426,1.1579049845863454e-08,1.4927876476284962e-05,logCPM_Welch_ttest,GSE132771,GSE173896
KDM6A,-3.516382394230688,-23.994175892026306,1.2492100036756842e-08,1.503132757089495e-05,logCPM_Welch_ttest,GSE132771,GSE173896
PARD3,-4.858033094191147,-17.123681284119307,1.5339935413079806e-08,1.589892841057707e-05,logCPM_Welch_ttest,GSE132771,GSE173896
AC005154.6,-3.9485589486675856,-19.320379310745057,1.539062335734842e-08,1.589892841057707e-05,logCPM_Welch_ttest,GSE132771,GSE173896
PDE4D,-4.9556839476617425,-16.739542818090428,1.585576549340059e-08,1.589892841057707e-05,logCPM_Welch_ttest,GSE132771,GSE173896
PARM1,-2.0963306242092363,-16.53966263123847,1.8482590481483834e-08,1.7557488189489564e-05,logCPM_Welch_ttest,GSE132771,GSE173896
PTPRK,-4.238118953520681,-17.529759417589265,1.9898578350335603e-08,1.7957472032260363e-05,logCPM_Welch_ttest,GSE132771,GSE173896
