gene,log2fc,statistic,pvalue,fdr,method,group1,group2
KIAA0825,-10.308840436738642,-153.20658930029055,2.247596875456861e-10,3.1012341687553767e-06,logCPM_Welch_ttest,GSE159354,GSE171524
DYM,-7.626657429147532,-80.81456068496492,5.497225733092725e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
AC083837.1,-9.668495051307204,-80.78549752067055,5.507114686237918e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
GRK3,-7.908794083711006,-80.16594615043041,5.7230886418660025e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
BBS9,-10.210290703763,-78.28822465437118,6.442623328733594e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
WNT5B,-7.25783821538863,-78.25771256615994,6.45518398189659e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
SOX5,-9.773838487070865,-75.98083892001237,7.481312046269457e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
WDR49,-10.5494476556061,-74.48934585169745,8.260280912291672e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
NRF1,-7.462575326357755,-74.16718175969099,8.4411076743599e-09,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
FAM185A,-7.447689211041539,-71.60599897118738,1.0061199159615978e-08,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
RNF111,-7.515182276773133,-71.53257136849419,1.0112900612433943e-08,1.2685254786396685e-05,logCPM_Welch_ttest,GSE159354,GSE171524
ARHGAP24,-8.926541483628348,-69.05855997822559,1.205705035189313e-08,1.3863598396285118e-05,logCPM_Welch_ttest,GSE159354,GSE171524
TTC34,-9.24206964366922,-66.59666187725303,1.4454163638082337e-08,1.4311601437642635e-05,logCPM_Welch_ttest,GSE159354,GSE171524
LINC01376,-7.617219638633158,-65.8902322227555,1.524500209825799e-08,1.4311601437642635e-05,logCPM_Welch_ttest,GSE159354,GSE171524
LINC00894,-8.062634200662364,-65.62240067428219,1.5558343351546565e-08,1.4311601437642635e-05,logCPM_Welch_ttest,GSE159354,GSE171524
PTPRM,-9.64693553973008,-64.38845357532676,1.7105752522537614e-08,1.4751573331623376e-05,logCPM_Welch_ttest,GSE159354,GSE171524
PPP6R2,-7.4010910354481245,-62.9228988000607,1.919047481749464e-08,1.5074563592638843e-05,logCPM_Welch_ttest,GSE159354,GSE171524
RFX3-AS1,-8.353433231205466,-61.8515940677775,2.0909027406339715e-08,1.5074563592638843e-05,logCPM_Welch_ttest,GSE159354,GSE171524
NSMCE2,-7.749266840344507,-61.61379468950057,2.131518646733428e-08,1.5074563592638843e-05,logCPM_Welch_ttest,GSE159354,GSE171524
LDLRAD4,-9.890408537494654,-61.30863124487237,2.1850360331408674e-08,1.5074563592638843e-05,logCPM_Welch_ttest,GSE159354,GSE171524
FHIT,-9.535434330976619,-59.89507757331503,2.45500285756522e-08,1.613053782318329e-05,logCPM_Welch_ttest,GSE159354,GSE171524
MAML3,-8.93550683469962,-58.204263771936695,2.8324177799358286e-08,1.776440933070662e-05,logCPM_Welch_ttest,GSE159354,GSE171524
RORA,-7.936753247103638,-57.36099177524039,3.046543836543176e-08,1.8276613850705543e-05,logCPM_Welch_ttest,GSE159354,GSE171524
FAM222B,-7.263015662641732,-56.00279261794233,3.433783798521235e-08,1.9741395354998332e-05,logCPM_Welch_ttest,GSE159354,GSE171524
EXOC6B,-8.108989012564223,-52.60681994557807,4.692601893437452e-08,2.5899408370259985e-05,logCPM_Welch_ttest,GSE159354,GSE171524
EEA1,-7.304790034277389,-50.49182179386688,5.759373049414126e-08,2.980300567021381e-05,logCPM_Welch_ttest,GSE159354,GSE171524
RGL1,-8.022018952965189,-50.36544949873214,5.8318680467877434e-08,2.980300567021381e-05,logCPM_Welch_ttest,GSE159354,GSE171524
EIF4G3,-8.883744558765047,-49.97911751610932,6.060381018979726e-08,2.9864691892815093e-05,logCPM_Welch_ttest,GSE159354,GSE171524
KIAA1328,-7.697937408189488,-48.73914055982532,6.870015443372117e-08,3.2687059685396024e-05,logCPM_Welch_ttest,GSE159354,GSE171524
KCNMB2,-9.993741190047844,-46.46594881667093,8.719208716671463e-08,3.913300027293288e-05,logCPM_Welch_ttest,GSE159354,GSE171524
SLC9C1,-9.156403831207465,-46.291305718750785,8.884596567942234e-08,3.913300027293288e-05,logCPM_Welch_ttest,GSE159354,GSE171524
LARP4B,-7.664247525248417,-46.0943681457345,9.075634213174751e-08,3.913300027293288e-05,logCPM_Welch_ttest,GSE159354,GSE171524
ARFGEF1,-8.009086912376706,-44.9644292963761,1.0272110757565654e-07,4.148974564789632e-05,logCPM_Welch_ttest,GSE159354,GSE171524
FAM160A1,-8.435803017314859,-44.52049421615547,1.0793423595007241e-07,4.148974564789632e-05,logCPM_Welch_ttest,GSE159354,GSE171524
DUSP16,-7.034296364004245,-44.43110543091585,1.0902198379987279e-07,4.148974564789632e-05,logCPM_Welch_ttest,GSE159354,GSE171524
SLC9C2,-7.936337109114874,-44.413829660473155,1.0923372156265383e-07,4.148974564789632e-05,logCPM_Welch_ttest,GSE159354,GSE171524
SCAF8,-7.266646166852385,-44.25076902932016,1.112567465554547e-07,4.148974564789632e-05,logCPM_Welch_ttest,GSE159354,GSE171524
TRRAP,-7.872093893420732,-42.91113702991294,1.2969703658346247e-07,4.709367659943724e-05,logCPM_Welch_ttest,GSE159354,GSE171524
TRMT11,-7.501382274851245,-42.60701762711778,1.3438115756017847e-07,4.754336441064981e-05,logCPM_Welch_ttest,GSE159354,GSE171524
AC087286.2,-7.11496233037542,-42.08792643130488,1.4285418353174322e-07,4.821660448672924e-05,logCPM_Welch_ttest,GSE159354,GSE171524
SCAPER,-7.50261556054824,-42.063231972270174,1.4327299492360477e-07,4.821660448672924e-05,logCPM_Welch_ttest,GSE159354,GSE171524
C12orf74,-7.968636336566327,-41.482504245932425,1.5356023171005268e-07,5.04481923127454e-05,logCPM_Welch_ttest,GSE159354,GSE171524
AC025171.2,-6.991285504254782,-41.10657723412566,1.606931869884417e-07,5.0644324039556945e-05,logCPM_Welch_ttest,GSE159354,GSE171524
FRMD3,-7.037415037170791,-41.06541772600325,1.6149806187422132e-07,5.0644324039556945e-05,logCPM_Welch_ttest,GSE159354,GSE171524
GAREM1,-7.331343446708076,-40.86643571994319,1.6545803997693223e-07,5.073311190226024e-05,logCPM_Welch_ttest,GSE159354,GSE171524
GPR39,-7.725493982188248,-40.17576862305847,1.8013760089448072e-07,5.267711894070873e-05,logCPM_Welch_ttest,GSE159354,GSE171524
REV1,-7.9213249091856826,-40.15430691412319,1.8061823814786898e-07,5.267711894070873e-05,logCPM_Welch_ttest,GSE159354,GSE171524
LINC00571,-8.2443675157663,-40.037936118858774,1.832513196951746e-07,5.267711894070873e-05,logCPM_Welch_ttest,GSE159354,GSE171524
