gene,log2fc,statistic,pvalue,fdr,method,group1,group2
PRDX1,-7.128011210545367,-44.14125993564356,1.0116588150209322e-13,2.020889648885814e-09,logCPM_Welch_ttest,GSE171524,GSE173896
AC087286.3,4.275802340635272,38.34028372773106,5.699507643830453e-13,4.095512157751034e-09,logCPM_Welch_ttest,GSE171524,GSE173896
TUBA1B,-6.738655923708664,-38.59602996213389,6.150649015445085e-13,4.095512157751034e-09,logCPM_Welch_ttest,GSE171524,GSE173896
MRPL51,-5.518392879588985,-33.41607159611663,2.1633567160305477e-12,9.199573157050694e-09,logCPM_Welch_ttest,GSE171524,GSE173896
AKNAD1,4.388226441375654,33.18933901851254,2.616775188842348e-12,9.199573157050694e-09,logCPM_Welch_ttest,GSE171524,GSE173896
ATP6AP1,-5.290335135193658,-32.55068797578465,2.7631877724421386e-12,9.199573157050694e-09,logCPM_Welch_ttest,GSE171524,GSE173896
MXRA7,-4.891936248656903,-32.025237945478516,4.520938862897648e-12,1.2901467817891918e-08,logCPM_Welch_ttest,GSE171524,GSE173896
ARHGEF18,6.558441821857745,36.03650006610444,6.4772689160147305e-12,1.4440653188643742e-08,logCPM_Welch_ttest,GSE171524,GSE173896
AC019117.2,8.275328677532167,43.8470842265524,6.506101256397361e-12,1.4440653188643742e-08,logCPM_Welch_ttest,GSE171524,GSE173896
AC053513.1,5.963952035261215,34.930175199752874,9.48858917959581e-12,1.895440574516059e-08,logCPM_Welch_ttest,GSE171524,GSE173896
GAPDH,-7.250098389552662,-28.637980546043895,1.533657301642683e-11,2.785121659783112e-08,logCPM_Welch_ttest,GSE171524,GSE173896
AC018362.1,5.933639356176495,34.59596290662883,2.040442545571326e-11,3.1379944654166916e-08,logCPM_Welch_ttest,GSE171524,GSE173896
CDRT4,6.082746051851631,41.46149153652437,2.0421469788955243e-11,3.1379944654166916e-08,logCPM_Welch_ttest,GSE171524,GSE173896
ELOB,-6.883103238688012,-29.127957685737826,2.4830368121388344e-11,3.5429388113775256e-08,logCPM_Welch_ttest,GSE171524,GSE173896
MARCH2,-4.199686419299082,-25.81711457092929,3.42094174281801e-11,4.555782150302171e-08,logCPM_Welch_ttest,GSE171524,GSE173896
HSD17B10,-4.673170908935203,-26.68118435559918,3.854668260384353e-11,4.812553323089865e-08,logCPM_Welch_ttest,GSE171524,GSE173896
AC005154.4,3.3428427109810843,25.059759108192374,8.157700534460421e-11,9.585777992728315e-08,logCPM_Welch_ttest,GSE171524,GSE173896
ANKHD1,5.015810468123226,26.186747914707926,9.393986116707305e-11,1.0104999985177033e-07,logCPM_Welch_ttest,GSE171524,GSE173896
ZGPAT,4.165616499570617,44.62749779428529,9.611283526149562e-11,1.0104999985177033e-07,logCPM_Welch_ttest,GSE171524,GSE173896
H2AFJ,-4.855040080080634,-24.03980002136523,1.0629882327235032e-10,1.061712646844235e-07,logCPM_Welch_ttest,GSE171524,GSE173896
MRPL41,-5.094896933669528,-23.899802915557558,1.1794198664262936e-10,1.1219091072253162e-07,logCPM_Welch_ttest,GSE171524,GSE173896
AC021851.1,3.92155561669262,22.67456458144106,1.4749525338564383e-10,1.339256900741646e-07,logCPM_Welch_ttest,GSE171524,GSE173896
