gene,log2fc,statistic,pvalue,fdr,method,group1,group2
DNAJB12,-5.51185765576133,-268.7276484212165,1.3541839747769481e-11,1.852591821528447e-07,logCPM_Welch_ttest,GSE132771,GSE173896
PJA2,-6.9026217387820985,-241.1538433099952,2.3267670962751583e-11,1.852591821528447e-07,logCPM_Welch_ttest,GSE132771,GSE173896
CDK7,-3.8472901269089523,-234.61267279283572,2.6696971200813434e-11,1.852591821528447e-07,logCPM_Welch_ttest,GSE132771,GSE173896
STK24,-7.339500231760067,-179.4527605579227,1.0195503114840096e-10,3.297158574355818e-07,logCPM_Welch_ttest,GSE132771,GSE173896
PIGU,-3.670710897776106,-178.8064543364,1.0381076138077884e-10,3.297158574355818e-07,logCPM_Welch_ttest,GSE132771,GSE173896
ANKHD1-EIF4EBP3,-2.9232329582476404,-178.2286649665006,1.0550416828009398e-10,3.297158574355818e-07,logCPM_Welch_ttest,GSE132771,GSE173896
STAG1,-7.798427760489854,-176.47009390950308,1.1086612556677262e-10,3.297158574355818e-07,logCPM_Welch_ttest,GSE132771,GSE173896
DDX58,-5.273090575172044,-160.17334169134165,1.7995806984778613e-10,4.134038142351713e-07,logCPM_Welch_ttest,GSE132771,GSE173896
TRAK1,-7.6420368092412785,-159.00347613028265,1.8667524724618053e-10,4.134038142351713e-07,logCPM_Welch_ttest,GSE132771,GSE173896
CDKAL1,-7.260049804191596,-157.04927989259457,1.9857998570235915e-10,4.134038142351713e-07,logCPM_Welch_ttest,GSE132771,GSE173896
MTREX,-5.526248911275037,-147.9282137031084,2.6781579079909863e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
GSK3B,-7.19471813507536,-142.72093047735265,3.2035913076740836e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
ABRAXAS2,-4.244681258608546,-140.07336055527713,3.5179445775161964e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
TRAPPC9,-7.093625501374323,-138.05144061512013,3.7831627309652464e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
ABCB7,-5.086048273270879,-137.7469928817805,3.825146071321602e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
VAPB,-4.629289297518121,-137.37004420574596,3.877904594066304e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
ADNP,-6.0394938590690606,-136.53789954522227,3.9974975711332005e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
LASP1,-5.9729098364611035,-136.04436942800456,4.0705174637978475e-10,4.7077795867413106e-07,logCPM_Welch_ttest,GSE132771,GSE173896
MARCH5,-5.09278788570727,-134.45834155454168,4.316261680257724e-10,4.729259771558174e-07,logCPM_Welch_ttest,GSE132771,GSE173896
AKT1,-5.160790024835339,-130.60416098452237,4.991671989263213e-10,5.036119109575838e-07,logCPM_Welch_ttest,GSE132771,GSE173896
CDK12,-5.896191950630264,-130.14592665106522,5.080147050681746e-10,5.036119109575838e-07,logCPM_Welch_ttest,GSE132771,GSE173896
KPNA6,-5.70222690954013,-122.76723797996482,6.801156254403902e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
SEC24D,-6.125370937138135,-121.31313886216583,7.218526188861138e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
WWOX,-7.3371860259362585,-120.78344577970009,7.378156806803421e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
SLMAP,-6.355793648862829,-120.35947161356412,7.508986862325128e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
MED13,-7.091395384420099,-118.31783471280644,8.179381479388805e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
MTR,-5.406947217532939,-118.1429125479972,8.240094249567865e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
FAF1,-7.253635606489346,-117.53602459675942,8.454970702517934e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
TLK2,-5.995248453035633,-117.10106043238166,8.613119032041188e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
PAN3,-7.673012448801178,-116.29873090600252,8.914254202029065e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
USP7,-5.839612407234241,-115.88564974059334,9.074216477932362e-10,5.697210734320096e-07,logCPM_Welch_ttest,GSE132771,GSE173896
