analysis_set,study,sample_id,Activated T cells,Alveolar macrophages,Alveolar type I cells,Alveolar type II cells,Basophils,CD4+ memory T cells,CD8+ effector T cells,Ciliated cells,Classical monocytes,Club cells,Endothelial tip cells,Follicular B cells,Mast cells,Myofibroblasts,Neutrophils,Non-classical monocytes,Pericytes,Plasma cells,Smooth muscle cells,Vascular endothelial cells
controlled_primary,GSE173896,GSM5282543,0.00510204081632653,0.00510204081632653,0.03826530612244898,0.1326530612244898,0.02295918367346939,0.2193877551020408,0.09693877551020408,0.0,0.0,0.058673469387755105,0.002551020408163265,0.002551020408163265,0.015306122448979591,0.01020408163265306,0.03826530612244898,0.12755102040816327,0.02806122448979592,0.002551020408163265,0.0,0.19387755102040816
controlled_primary,GSE173896,GSM5282544,0.05387205387205387,0.0014964459408903852,0.013655069210624766,0.004676393565282455,0.034418256640478866,0.418443696221474,0.04470632248410026,0.002618780396558174,0.00018705574261129816,0.02244668911335578,0.018518518518518517,0.0,0.0,0.041900486344930786,0.033295922184811075,0.11728395061728394,0.013093901982790871,0.00823045267489712,0.00205761316872428,0.16909839132061355
controlled_primary,GSE173896,GSM5282545,0.04391749684299144,0.0026659183387119406,0.020485477760628597,0.04532061175810299,0.02539637996351901,0.27192367054861794,0.07450540199242318,0.005472148168935036,0.001122491932089238,0.016556755998316262,0.019503297320050513,0.0,0.0,0.03171039708152098,0.025957625929563632,0.2047144661147748,0.025817314438052477,0.00855900098218044,0.0025256068472007858,0.17384593798232076
controlled_primary,GSE173896,GSM5282546,0.022571148184494603,0.0026169447170428526,0.021262675825973177,0.03434739941118744,0.07131174353941773,0.2538436375531567,0.2636571802420674,0.006542361792607131,0.0009813542688910696,0.00850507033038927,0.005888125613346418,0.0,0.00032711808963035657,0.053974484789008834,0.003598298985933922,0.10271508014393196,0.005888125613346418,0.014393195943735688,0.002944062806673209,0.12463199214916584
controlled_primary,GSE173896,GSM5282547,0.033913234970270864,0.0004404316229905307,0.025324818321955517,0.05703589517727373,0.020700286280554942,0.16251926888350585,0.17330984364677385,0.0026425897379431843,0.00022021581149526536,0.06430301695661748,0.011671438009249064,0.0,0.0006606474344857961,0.12089848051090069,0.0041841004184100415,0.10262056815679366,0.020259854657564413,0.012111869632239595,0.0028628055494384495,0.1843206342215371
controlled_primary,GSE173896,GSM5282548,0.04284471509351892,0.0026098303610265334,0.008481948673336234,0.02435841670291431,0.024140930839495433,0.2122662026968247,0.13723357981731188,0.012396694214876033,0.00043497172683775554,0.0861244019138756,0.014136581122227055,0.0,0.0,0.048934319269247496,0.02218355806872553,0.1213571117877338,0.017181383210091345,0.006524575902566333,0.001087429317094389,0.21770334928229665
controlled_primary,GSE227691,GSM7105661,0.07288246881155613,0.00032829940906106366,0.003447143795141169,0.000984898227183191,0.00016414970453053183,0.0014773473407747866,0.7396585686145765,0.0026263952724885093,0.0004924491135915955,0.00804333552199606,0.02232435981615233,0.0,0.00016414970453053183,0.00016414970453053183,0.00032829940906106366,0.14560078791858175,0.0,0.001149047931713723,0.0,0.00016414970453053183
controlled_primary,GSE227691,GSM7105662,0.07746863066012002,0.0016366612111292963,0.0010911074740861974,0.006546644844517185,0.0,0.0016366612111292963,0.45444626295690127,0.03764320785597381,0.0010911074740861974,0.05237315875613748,0.015275504637206765,0.0,0.0,0.002727768685215494,0.0,0.3404255319148936,0.0005455537370430987,0.002727768685215494,0.0,0.00436442989634479
controlled_primary,GSE227691,GSM7105663,0.11373092926490985,0.0018492834026814608,0.0009246417013407304,0.0106333795654184,0.0,0.005547850208044383,0.7133610725843735,0.0009246417013407304,0.0027739251040221915,0.018030513176144243,0.03975959315765141,0.0004623208506703652,0.0,0.0,0.0,0.08876560332871013,0.0,0.0013869625520110957,0.0,0.0018492834026814608
controlled_primary,GSE227691,GSM7105664,0.02006375398462404,0.001125070316894806,0.0018751171948246765,0.0127507969248078,0.0003750234389649353,0.002812675792237015,0.7095443465216577,0.017063566472904558,0.0009375585974123383,0.029064316519782488,0.014063378961185074,0.0,0.0003750234389649353,0.00018751171948246765,0.00018751171948246765,0.18769923120195012,0.0,0.001687605475342209,0.0,0.00018751171948246765
