study,sample_id,celltype,n_cells
GSE173896,GSM5282547,Non-classical monocytes,466
GSE173896,GSM5282548,Non-classical monocytes,558
GSE227691,GSM7105661,Non-classical monocytes,887
GSE227691,GSM7105662,Non-classical monocytes,624
GSE227691,GSM7105663,Non-classical monocytes,192
GSE227691,GSM7105664,Non-classical monocytes,1001
GSE173896,GSM5282543,Pericytes,11
GSE173896,GSM5282544,Pericytes,70
GSE173896,GSM5282545,Pericytes,184
GSE173896,GSM5282546,Pericytes,18
GSE173896,GSM5282547,Pericytes,92
GSE173896,GSM5282548,Pericytes,79
GSE227691,GSM7105662,Pericytes,1
GSE173896,GSM5282543,Plasma cells,1
GSE173896,GSM5282544,Plasma cells,44
GSE173896,GSM5282545,Plasma cells,61
GSE173896,GSM5282546,Plasma cells,44
GSE173896,GSM5282547,Plasma cells,55
GSE173896,GSM5282548,Plasma cells,30
GSE227691,GSM7105661,Plasma cells,7
GSE227691,GSM7105662,Plasma cells,5
GSE227691,GSM7105663,Plasma cells,3
GSE227691,GSM7105664,Plasma cells,9
GSE173896,GSM5282544,Smooth muscle cells,11
GSE173896,GSM5282545,Smooth muscle cells,18
GSE173896,GSM5282546,Smooth muscle cells,9
GSE173896,GSM5282547,Smooth muscle cells,13
GSE173896,GSM5282548,Smooth muscle cells,5
GSE173896,GSM5282543,Vascular endothelial cells,76
GSE173896,GSM5282544,Vascular endothelial cells,904
GSE173896,GSM5282545,Vascular endothelial cells,1239
GSE173896,GSM5282546,Vascular endothelial cells,381
GSE173896,GSM5282547,Vascular endothelial cells,837
GSE173896,GSM5282548,Vascular endothelial cells,1001
GSE227691,GSM7105661,Vascular endothelial cells,1
GSE227691,GSM7105662,Vascular endothelial cells,8
GSE227691,GSM7105663,Vascular endothelial cells,4
GSE227691,GSM7105664,Vascular endothelial cells,1
