analysis_set,study,sample_id,Activated T cells,Alveolar macrophages,Alveolar type I cells,Alveolar type II cells,Basophils,CD4+ memory T cells,CD8+ effector T cells,Ciliated cells,Classical monocytes,Club cells,Endothelial tip cells,Follicular B cells,Goblet cells,Mast cells,Myofibroblasts,Neutrophils,Non-classical monocytes,Pericytes,Plasma cells,Smooth muscle cells,Vascular endothelial cells
all_study_diagnostic,GSE132771,GSM3891620,0.0,0.007164294704230806,0.004550295285119566,0.0034853325588149867,0.0,9.681479330041631e-05,9.681479330041631e-05,0.0,0.0005808887598024978,0.004743924871720399,0.0,0.0,0.0,0.0024203698325104077,0.7192370994287928,0.0,0.0004840739665020815,0.0,0.0,0.25104075902797945,0.006099331977926227
all_study_diagnostic,GSE132771,GSM3891621,0.0,0.1973015873015873,0.06015873015873016,0.09,0.0,0.0044444444444444444,0.0007936507936507937,0.0014285714285714286,0.14253968253968255,0.003492063492063492,0.0009523809523809524,0.0,0.0,0.036349206349206346,0.09936507936507936,0.0,0.0011111111111111111,0.0,0.0022222222222222222,0.042222222222222223,0.31761904761904763
all_study_diagnostic,GSE132771,GSM3891622,0.0,0.0009471490812653912,0.01629096419776473,0.01610153438151165,0.0,0.0007577192650123129,0.0,0.00037885963250615644,0.0009471490812653912,0.008903201363894678,0.00018942981625307822,0.0,0.0,0.00018942981625307822,0.04451600681947338,0.0,0.0,0.0,0.00037885963250615644,0.2532676643303656,0.6571320325819284
all_study_diagnostic,GSE132771,GSM3891623,0.004776526782668032,0.003923575571477311,0.019447287615148412,0.09638348686455135,0.0,0.19071989082224497,0.015182531559194815,0.00255885363357216,0.25247355851245307,0.004605936540429887,0.009041282838621632,0.0,0.0,0.009723643807574206,0.010064824292050495,0.0,0.002388263391334016,0.0,0.004947117024906175,0.07164790174002048,0.302115319003753
all_study_diagnostic,GSE132771,GSM3891624,0.0,0.005550811272416738,0.011955593509820665,0.10076857386848848,0.0,0.0008539709649871904,0.0,0.0,0.005550811272416738,0.036293766011955594,0.0,0.0,0.0,0.0,0.40649017933390263,0.0,0.0,0.0,0.0004269854824935952,0.41374893253629375,0.018360375747224593
all_study_diagnostic,GSE132771,GSM3891625,0.0004682744088035589,0.04565675485834699,0.006555841723249824,0.04987122453757902,0.0,0.2243034418169047,0.008897213767267619,0.0009365488176071178,0.5167408101147273,0.006321704518848045,0.004682744088035589,0.0,0.0,0.002107234839616015,0.0067899789276516034,0.0,0.00421446967923203,0.0,0.005385155701240927,0.01662374151252634,0.10044486068836338
all_study_diagnostic,GSE159354,GSM4827167,0.0005790387955993051,0.0,0.0,0.21598147075854082,0.0,0.2009264620729589,0.0017371163867979154,0.0,0.519976838448176,0.0017371163867979154,0.003474232773595831,0.0,0.0,0.029530978575564564,0.003474232773595831,0.0011580775911986102,0.0028951939779965257,0.0,0.012738853503184714,0.0011580775911986102,0.004632310364794441
all_study_diagnostic,GSE159354,GSM4827184,0.0,0.0,0.0003419972640218878,0.02017783857729138,0.0,0.0006839945280437756,0.001709986320109439,0.0003419972640218878,0.9562243502051984,0.0030779753761969904,0.0003419972640218878,0.0,0.0,0.008207934336525308,0.0003419972640218878,0.0,0.0010259917920656635,0.0,0.007523939808481532,0.0,0.0
all_study_diagnostic,GSE159354,GSM4827185,0.0,0.0,0.003170289855072464,0.5944293478260869,0.0,0.0,0.0,0.005208333333333333,0.3555253623188406,0.021965579710144928,0.0,0.0,0.0,0.001358695652173913,0.002943840579710145,0.0,0.0004528985507246377,0.0,0.008831521739130434,0.00022644927536231884,0.00588768115942029
all_study_diagnostic,GSE159354,GSM4827199,0.0,0.0,0.0008488964346349745,0.010186757215619695,0.0,0.2631578947368421,0.019524617996604415,0.0,0.013582342954159592,0.0,0.04584040747028863,0.0,0.0,0.03480475382003396,0.0050933786078098476,0.0,0.5449915110356537,0.0,0.06027164685908319,0.0008488964346349745,0.0008488964346349745
