gene,log2fc,statistic,pvalue,fdr,method,group1,group2
DES,-3.9886659139592497,-2.0797907495290047,0.03754472995073065,,PyDESeq2,GSE173896,GSE227691
AL031733.2,-3.4968862701427246,-2.0797566040557505,0.03754786332165172,,PyDESeq2,GSE173896,GSE227691
BCKDHA,-3.4915702217301834,-2.079754460527988,0.03754806003062593,,PyDESeq2,GSE173896,GSE227691
COL5A2,-3.5147356915663925,-2.0795968696861085,0.03756252435573635,,PyDESeq2,GSE173896,GSE227691
HS3ST4,-3.5159804576805116,-2.07958680984273,0.0375634478498375,,PyDESeq2,GSE173896,GSE227691
LINC01825,-3.5159804576805116,-2.07958680984273,0.0375634478498375,,PyDESeq2,GSE173896,GSE227691
AC104758.5,-3.822290064862819,-2.0792939178192307,0.03759034382266783,,PyDESeq2,GSE173896,GSE227691
NOTCH3,-3.489293207548731,-2.0791307000158086,0.037605339054375984,,PyDESeq2,GSE173896,GSE227691
MBD3L1,-3.5986745756413927,-2.0789686166072388,0.03762023510293766,,PyDESeq2,GSE173896,GSE227691
TCF21,-3.614116462121407,-2.0789307148779543,0.037623719132450134,,PyDESeq2,GSE173896,GSE227691
CACNG8,-3.984724901846563,-2.0788817864495357,0.0376282171719447,,PyDESeq2,GSE173896,GSE227691
AC022816.1,-3.6451561106382906,-2.0787916352024793,0.037636506064697435,,PyDESeq2,GSE173896,GSE227691
AC002066.1,-3.491248461585293,-2.0785995557564667,0.03765417185522522,,PyDESeq2,GSE173896,GSE227691
LINC00519,-3.526022738084027,-2.0785739862727644,0.03765652404511611,,PyDESeq2,GSE173896,GSE227691
TXNRD3,-3.7656343445220726,-2.0780963479033043,0.03770048597557014,,PyDESeq2,GSE173896,GSE227691
AC046195.1,-3.5028669551714855,-2.077854555112097,0.037722757274179106,,PyDESeq2,GSE173896,GSE227691
LINC02067,-3.4898298532105394,-2.0777579109088666,0.037731662208174296,,PyDESeq2,GSE173896,GSE227691
KCNH5,-3.4844979761644397,-2.077687256736075,0.03773817351547721,,PyDESeq2,GSE173896,GSE227691
TEKT1,-3.573467505046708,-2.0774357279260944,0.03776136152500742,,PyDESeq2,GSE173896,GSE227691
